title,author,rating,reviews,price,year,fiction flag
George Washington's Sacred Fire,Peter A. Lillback,4.6,521,37.03,2010,FALSE
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,5793,31,2013,FALSE
Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7,15856,11.34,2020,FALSE
Giraffes Can't Dance,Giles Andreae,4.8,25794,0.94,2016,TRUE
Giraffes Can't Dance,Giles Andreae,4.8,25794,0.94,2019,TRUE
Giraffes Can't Dance,Giles Andreae,4.8,25794,0.94,2015,TRUE
Giraffes Can't Dance,Giles Andreae,4.8,25794,0.94,2017,TRUE
Giraffes Can't Dance,Giles Andreae,4.8,25794,0.94,2020,TRUE
Giraffes Can't Dance,Giles Andreae,4.8,25794,0.94,2018,TRUE
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,12894,8.48,2019,FALSE
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,25918,0.35,2018,TRUE
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,25918,0.35,2019,TRUE
Go Set a Watchman: A Novel,Harper Lee,3.9,8186,13.69,2015,TRUE
Go the F**k to Sleep,Adam Mansbach,4.8,16188,12.19,2011,TRUE
Gone Girl,Gillian Flynn,4,62589,14.23,2012,TRUE
Gone Girl,Gillian Flynn,4,62589,14.23,2013,TRUE
Gone Girl,Gillian Flynn,4,62589,1.03,2014,TRUE
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,23527,0.57,2019,FALSE
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,4655,14.06,2012,FALSE
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,4655,14.06,2011,FALSE
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,4655,14.06,2010,FALSE
Goodnight Moon,Margaret Wise Brown,4.9,18064,0.35,2018,TRUE
Goodnight Moon,Margaret Wise Brown,4.9,18064,0.35,2017,TRUE
Goodnight Moon,Margaret Wise Brown,4.9,18064,0.35,2019,TRUE
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,14251,0.94,2013,TRUE
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,14251,0.94,2012,TRUE
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,4.6,6998,13.69,2014,FALSE
Greenlights,Matthew McConaughey,4.7,41191,16.95,2020,FALSE
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",E L James,4.5,32763,11.14,2015,TRUE
Guts,Raina Telgemeier,4.8,10675,5.89,2019,TRUE
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,11226,46.97,2016,FALSE
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4535,13.99,2013,FALSE
Harry Potter Coloring Book,Scholastic,4.8,7657,1.19,2015,FALSE
Harry Potter Paperback Box Set (Books 1-7),J. K. Rowling,4.9,47416,32,2016,TRUE
Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated) (2),J. K. Rowling,4.9,6113,11.6,2016,TRUE
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,4.2,34334,12.28,2016,TRUE
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (Illustrated edition) (4)",J. K. Rowling,4.9,16221,30.4,2019,TRUE
Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (3),Jim Kay,4.9,6683,9.5,2017,FALSE
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",J.K. Rowling,4.9,18180,9.99,2016,TRUE
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,16658,9.5,2012,FALSE
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,16658,9.5,2011,FALSE
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.5,25275,0.94,2017,FALSE
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.5,25275,0.94,2016,FALSE
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,4.8,8710,15.8,2018,FALSE
How to Be an Antiracist,Ibram X. Kendi,4.7,22344,13.5,2020,TRUE
How to Catch a Mermaid,Adam Wallace,4.8,20887,1.55,2020,TRUE
How to Catch a Unicorn,Adam Wallace,4.8,24233,1.36,2020,TRUE
How to Win Friends & Influence People,Dale Carnegie,4.7,52852,1.91,2014,FALSE
How to Win Friends & Influence People,Dale Carnegie,4.7,52852,1.91,2016,FALSE
How to Win Friends & Influence People,Dale Carnegie,4.7,52852,1.91,2015,FALSE
How to Win Friends & Influence People,Dale Carnegie,4.7,52852,1.91,2017,FALSE
How to Win Friends & Influence People,Dale Carnegie,4.7,52852,1.91,2018,FALSE
Howard Stern Comes Again,Howard Stern,4.4,7417,24.48,2019,FALSE
Human Body Activity Book for Kids: Hands-On Fun for Grades K-3,Ph.D.,4.7,16477,5.39,2020,FALSE
Humans of New York (ST MARTIN'S PRE),Brandon Stanton,4.8,4889,15.51,2014,FALSE
Humans of New York (ST MARTIN'S PRE),Brandon Stanton,4.8,4889,15.51,2013,FALSE
Humans of New York : Stories,Brandon Stanton,4.9,4482,2.01,2015,FALSE
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,7017,1.67,2013,FALSE
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,24088,2,2019,FALSE
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,24088,2,2020,FALSE
I Love You to the Moon and Back,Amelia Hepworth,4.9,36867,1.36,2020,TRUE
If Animals Kissed Good Night,Ann Whitford Paul,4.8,50419,1.25,2019,TRUE
If Animals Kissed Good Night,Ann Whitford Paul,4.8,50419,1.25,2020,TRUE
If Animals Kissed Good Night,Ann Whitford Paul,4.8,50419,1.25,2017,TRUE
If I Stay,Gayle Forman,4.4,9222,0.25,2014,TRUE
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.5,6069,1.8,2011,FALSE
Inferno,Dan Brown,4.1,32736,12.51,2013,TRUE
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.7,7291,2.1,2011,TRUE
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy・ｦ,Jennifer Smith,4.4,12097,1.5,2018,FALSE
Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy・ｦ,Jennifer Smith,4.4,12097,1.5,2019,FALSE
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,14357,15.1,2019,FALSE
JOURNEY TO THE ICE P,RH Disney,4.6,1059,2.12,2014,FALSE
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,28161,0.35,2016,FALSE
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,28161,0.35,2013,FALSE
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,28161,0.35,2011,FALSE
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,28161,0.35,2015,FALSE
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,28161,0.35,2012,FALSE
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,28161,0.35,2014,FALSE
Joyland (Hard Case Crime),Stephen King,4.6,7668,11.17,2013,TRUE
